Date,Close/Last,Volume,Open,High,Low
23/02/2024,185.72,3433800,$184.90,$186.455,$184.57
22/02/2024,184.21,5078398,$182.45,$184.55,$181.93
21/02/2024,179.70,4728473,$182.56,$183.03,$178.75
20/02/2024,183.44,4247181,$187.64,$188.77,$183.06
16/02/2024,187.64,4842840,$186.63,$188.95,$185.9452
15/02/2024,186.87,4714301,$183.62,$186.98,$183.62
14/02/2024,183.57,3173391,$185.00,$185.00,$182.26
13/02/2024,183.70,4290453,$184.28,$184.77,$182.36
12/02/2024,186.16,4724021,$185.90,$186.48,$184.03
09/02/2024,186.34,5064641,$184.44,$187.18,$183.85
08/02/2024,184.36,5161185,$182.63,$184.55,$181.49
07/02/2024,183.74,4841188,$183.34,$184.02,$182.625
06/02/2024,183.41,3338196,$183.55,$184.68,$183.04
05/02/2024,183.42,4379602,$185.51,$185.78,$183.255
02/02/2024,185.79,4055411,$187.10,$187.39,$185.615
01/02/2024,186.90,4669444,$183.63,$187.51,$182.71
31/01/2024,183.66,8876055,$187.05,$187.65,$183.14
30/01/2024,187.87,4575058,$187.71,$188.65,$186.77
29/01/2024,187.14,6107908,$187.46,$189.46,$186.05
26/01/2024,187.42,9895941,$191.31,$192.3896,$186.16
25/01/2024,190.43,29596240,$184.96,$196.90,$184.83
24/01/2024,173.93,9097827,$174.76,$174.86,$172.90
23/01/2024,173.94,3983461,$172.90,$174.02,$172.48
22/01/2024,172.83,4925964,$172.82,$174.45,$172.40
19/01/2024,171.48,6929079,$170.59,$171.5791,$169.18
18/01/2024,166.84,3776990,$166.49,$166.99,$165.04
17/01/2024,166.08,4288604,$166.79,$167.82,$165.495
16/01/2024,166.96,4869635,$165.80,$167.25,$165.34
12/01/2024,165.80,4958261,$162.97,$165.98,$162.355
11/01/2024,162.16,3778395,$161.02,$162.23,$160.29
10/01/2024,161.23,2967852,$160.28,$161.34,$159.74
09/01/2024,160.08,2617186,$160.00,$160.4837,$159.51
08/01/2024,161.14,3321698,$158.69,$161.216,$157.885
05/01/2024,159.16,4199504,$159.91,$160.55,$158.67
04/01/2024,160.86,3212004,$160.22,$161.81,$160.17
03/01/2024,160.10,4086065,$161.00,$161.73,$160.08
02/01/2024,161.50,3825044,$162.83,$163.29,$160.46
29/12/2023,163.55,2526169,$163.75,$164.18,$162.83
28/12/2023,163.75,2071313,$163.96,$163.96,$163.40
27/12/2023,163.46,3234550,$163.14,$163.64,$162.68
26/12/2023,163.21,1772443,$162.23,$163.31,$162.05
22/12/2023,162.14,2442715,$161.10,$162.41,$161.00
21/12/2023,160.78,2982924,$160.59,$161.08,$159.53
20/12/2023,160.05,4865797,$161.29,$161.80,$160.01
19/12/2023,161.56,3766591,$161.80,$162.28,$161.32
18/12/2023,162.74,3677533,$162.23,$163.33,$161.5766
15/12/2023,162.23,11016110,$162.30,$164.09,$162.04
14/12/2023,162.91,6129804,$162.93,$163.499,$160.149
13/12/2023,163.62,4989141,$164.37,$164.9653,$162.735
12/12/2023,164.71,5292290,$163.27,$166.34,$162.92
11/12/2023,163.51,6077207,$162.68,$163.65,$161.95
08/12/2023,161.96,4561342,$160.00,$162.04,$160.00
07/12/2023,160.22,3665498,$161.00,$161.465,$159.97
06/12/2023,160.28,3555863,$161.59,$162.355,$160.01
05/12/2023,161.39,4556668,$160.76,$162.47,$160.72
04/12/2023,161.10,5779017,$160.29,$162.79,$160.29
01/12/2023,160.55,4871860,$158.41,$160.59,$158.00
30/11/2023,158.56,6740622,$156.95,$158.60,$156.89
29/11/2023,156.41,3568887,$156.15,$157.51,$156.02
28/11/2023,155.65,2666182,$155.44,$155.745,$154.86
27/11/2023,155.57,4053093,$154.99,$156.135,$154.75
24/11/2023,155.18,1799161,$155.13,$155.40,$153.92
22/11/2023,155.13,3045091,$154.50,$155.705,$154.16
21/11/2023,153.91,2859508,$154.60,$154.66,$153.51
20/11/2023,154.35,3658936,$152.51,$154.68,$152.35
17/11/2023,152.89,4426676,$153.29,$153.50,$152.4601
16/11/2023,153.06,3519172,$153.00,$153.35,$152.13
15/11/2023,152.58,4632519,$150.40,$153.22,$150.40
14/11/2023,150.41,4321940,$149.45,$150.8063,$149.05
13/11/2023,148.10,2647288,$148.46,$148.49,$147.35
10/11/2023,149.02,3179541,$147.44,$149.17,$146.85
09/11/2023,146.62,3412713,$146.55,$146.99,$145.28
08/11/2023,148.03,3618588,$149.25,$149.68,$147.585
07/11/2023,148.83,3549853,$149.03,$149.28,$148.03
06/11/2023,148.97,4597249,$147.89,$149.225,$147.85
03/11/2023,147.90,3510495,$147.45,$148.445,$147.28
