Year,Date,UR
2024,5-Jan,64.50%
2024,12-Jan,64.50%
2024,19-Jan,65%
2024,26-Jan,66%
2024,2-Feb,65%
2024,9-Feb,64%
2024,16-Feb,62.50%
2024,23-Feb,62.50%
2024,1-Mar,63.50%
2024,8-Mar,67%
2024,15-Mar,65.50%
2024,22-Mar,62.50%
2024,29-Mar,57%
2024,5-Apr,57.50%
2024,12-Apr,55%
2024,19-Apr,56%
2024,26-Apr,60%
2024,3-May,63%
2024,10-May,63%
2024,17-May,64%
2024,24-May,64.50%
2024,31-May,62.50%
2024,7-Jun,62.50%
2024,14-Jun,64%
2024,21-Jun,65%
2024,28-Jun,65%
2024,5-Jul,64.50%
2024,12-Jul,64.50%
2024,19-Jul,62.50%
2024,26-Jul,60%
2024,2-Aug,56%
2024,9-Aug,57.50%
2024,16-Aug,61.50%
2024,23-Aug,60%
2024,30-Aug,61%
2024,6-Sep,59%
2024,13-Sep,57%
2024,20-Sep,57%
2024,27-Sep,61%
2024,4-Oct,60%
2024,11-Oct,60%
2024,18-Oct,60%
2024,25-Oct,62.50%
2024,1-Nov,61.50%
2024,8-Nov,61%
2024,15-Nov,61%
2024,22-Nov,58.50%
2024,29-Nov,59%
2024,6-Dec,62%
2024,13-Dec,62%
2024,17-Dec,62%
2023,6-Jan,52%
2023,13-Jan,53%
2023,20-Jan,59%
2023,27-Jan,59%
2023,3-Feb,60%
2023,10-Feb,60%
2023,17-Feb,58.50%
2023,24-Feb,55%
2023,3-Mar,58%
2023,10-Mar,55.50%
2023,17-Mar,52.50%
2023,24-Mar,52%
2023,31-Mar,52.50%
2023,7-Apr,54%
2023,14-Apr,56.50%
2023,21-Apr,54.50%
2023,28-Apr,52.50%
2023,5-May,52%
2023,12-May,53%
2023,19-May,50%
2023,26-May,50%
2023,2-Jun,50%
2023,9-Jun,50%
2023,16-Jun,55%
2023,23-Jun,54.50%
2023,30-Jun,56.20%
2023,7-Jul,60%
2023,14-Jul,60%
2023,21-Jul,60%
2023,28-Jul,62.50%
2023,4-Aug,64%
2023,11-Aug,64%
2023,18-Aug,60%
2023,25-Aug,62%
2023,1-Sep,61%
2023,8-Sep,60%
2023,15-Sep,61%
2023,22-Sep,63.50%
2023,29-Sep,63%
2023,6-Oct,63%
2023,13-Oct,63%
2023,20-Oct,64%
2023,27-Oct,63.50%
2023,3-Nov,66%
2023,10-Nov,66%
2023,17-Nov,67.50%
2023,24-Nov,68%
2023,1-Dec,70%
2023,8-Dec,68.50%
2023,15-Dec,65.50%
