Title,Link,Published,Source,Snippet,Search_date
"Fake claims, real theft: Sh11 billion stolen from SHA in six months - Daily Nation",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNSXpSV1dwQ0lESG5zcGFJWGVFTzlOM3BUb1JuaWJPU25XQlhMcXpuNENPWjNMUjFMZUpGUFZ1TGlFLUs0MWphclcyalhUeE5zM2NsUERqQVpkX2VCNVRKM0pSYmp4bGlzUWh3S1cxQzlkSlEzLU5TcWxqVUpvSk1sZ0I5dzc4REJoS05VNld3WXpmcnkwWUFZbGdGYks2cTZaZW1jVHZ2Y1hQUQ?oc=5,2026-01-28 03:00:00,Daily Nation,"Fake claims, real theft: Sh11 billion stolen from SHA in six months Daily Nation",2025-01-01
Why we relocated to Kenya after decades in the US - Daily Nation,https://news.google.com/rss/articles/CBMiogFBVV95cUxOcFVKVHRvd3o3RTNQTUtpcFJPNlVCZjFIaG42SlE2ajgxcE51NXZfOGdndkFNdjgySkV2dVFKM2JfcTJKSE45X1VadVpuQ2NxNFc2cHkwMFY0M1c5N2lUVFlKRzM0ZjhSblAwZFQ0Y25JbXlrZTM5a1VHR1Viekd0VGhsT242MzB5N0ZMVlZSWk02UlRZWGVSSzFkaUhJWG5DMFE?oc=5,2026-01-28 03:32:49,Daily Nation,Why we relocated to Kenya after decades in the US Daily Nation,2025-01-01
Businessman’s daughter accused of forging father’s Will to seize billions - Daily Nation,https://news.google.com/rss/articles/CBMitAFBVV95cUxNbVVUQ0NTS215VlA3bmlZZUxJcjc3YjlsNzRhc2pwRnBZODBPR1ZsN0VONXRaV2VCZmpXZ3BkVEhLQ2dnSkJQOHc5ZXdGSWh1ZU9MWVBxcEw3NU5RN0ZWcjhhSmZ1c0pIQmZOekVKMXViQlRlekNoN201aUZ4bFE0Tk0wNVlNcG5xeVh2Q3MxSW4tSjZwYWVnb0FmdE1YbzNEU1ZYSUJnUTlJU0xhNzVXcU5qYjc?oc=5,2026-01-27 07:25:08,Daily Nation,Businessman’s daughter accused of forging father’s Will to seize billions Daily Nation,2025-01-01
Lantana camara craze: Why Kenyans are eating it despite being toxic - Daily Nation,https://news.google.com/rss/articles/CBMiugFBVV95cUxNLTZObVdYQWxXdXBJUHpXNzBqb1dqd1lfSnFxYVNxczk5bU9RZ2c5cHI5ZzVwYzBFb2hVX0pUZ2dFMTVMenduNVJxa09VNVdRdFYwdFBHWUR0RmhqSWl4VWpoZzNUTWRubmpObkJYcFJVM2VPS0hmdXlEcXM0X1NLVUFGOGZTeWhnRkFpQnBzZTRCdW1WanNMcE9vQ25DV21ZdEZVZDRmTk05ZE5qYWV3OEN3VXhSRkE3T0E?oc=5,2026-01-27 08:00:00,Daily Nation,Lantana camara craze: Why Kenyans are eating it despite being toxic Daily Nation,2025-01-01
"Jeremiah Kioni: Close to power, yet 'always just out of reach - Daily Nation",https://news.google.com/rss/articles/CBMirAFBVV95cUxOTzI2aVNCaVhCZ1pXZU82NmEwblNhX0FJT05JazdYTkJfWXQtdVpZRWZ6M0IzQXJiYS0tSVk1d1EtQkstOGVxSVF0d3NzS0I0S0NpMXA2b0ZGT0R3YVlTeVhzTU9Mc2R1MXg2bGhGVkU4dkVZakdVMDlJSnlNRFlJbGpuSzFpeE1MZ25Dd3ZJXzF0OXBHekk4bmprTU50UE0tOHJfR0N6WG93aVgz?oc=5,2026-01-28 03:27:18,Daily Nation,"Jeremiah Kioni: Close to power, yet 'always just out of reach Daily Nation",2025-01-01
How Gachagua church attack reveals high-stake power struggles - Daily Nation,https://news.google.com/rss/articles/CBMisAFBVV95cUxNSmFvWnRvV0lSc0xLZk9NWmVnemVOZ2RibnZsTHBtWEp2YjRfa2JvaDJjN2FoZFhNbUc5cGdxcjFvUG9KRXdqM2F1TnhlOGhXZTNWU0NUdi1mdmxENkN4U1BzSF9mUGNFR2gyd1Zjek9KTXpINXZHdk5OY25teVFwSnRiSU5sSUpwOHBlNjU2b0xLQkZKRDRIMk9kay0yQzI2WjdyQkwzOWRWYUFDa0Z3Tg?oc=5,2026-01-28 03:00:00,Daily Nation,How Gachagua church attack reveals high-stake power struggles Daily Nation,2025-01-01
Businesswoman Mary Wambui fights city luxury hotel auction over Sh8bn debt - Daily Nation,https://news.google.com/rss/articles/CBMitgFBVV95cUxNeXY0NEFZdjFjM3lEZEVzLXk5d2p4Ul95RGQ2clN6MVA0RGJxYXFENklXYzZZc3dVR29UZUQ0V295cjRVWks3M1UyaVA2UkpOc2t5S1dlYXhvMmFacmNzbDVpQldCUUNYQnBDRmtBb2ZVVHozaXlBemQzRm5XbUFVdGR0R3J6MGV5QXhia0o3Mm5NdjRybkZZbi1IeVljNklPcjBtTlBHWGM4S2lnc0lZd0g4Yzktdw?oc=5,2026-01-26 11:45:00,Daily Nation,Businesswoman Mary Wambui fights city luxury hotel auction over Sh8bn debt Daily Nation,2025-01-01
What Ida Odinga is going to do at UNEP - Daily Nation,https://news.google.com/rss/articles/CBMihgFBVV95cUxQOHNPd0loNVZ6Y2NYNFVPZzdJYk1ySVp0Rl9wUi1UV0Q0R1ZWWkE5c3lQcHNEaURFT3BHVkpiSWRPNWhzMEE0ajJmVUtqSldyUlZELUN1SkdSSU93cjFGbnc5Z29PNE0wbDNRc3hORHFmQWdLV0hheFhyeDJoRUZhNFZYeTYwQQ?oc=5,2026-01-28 02:00:00,Daily Nation,What Ida Odinga is going to do at UNEP Daily Nation,2025-01-01
Report: More than half of MPs will not make it back to Parliament - Daily Nation,https://news.google.com/rss/articles/CBMitAFBVV95cUxOY1g2SEZLR01SV3AtSXh1N28zbVkxeFFvMVpIb2pCMzBUU3RzT2hZM2o3RmM0d09ud0REZGlJelJpQ1N2X1dOTlFGaDhJaVpKWnl4cy1BdDcxalpFYTg1Qk45TXVJSm9IbFE1WXRmdlQ0Q3pJT1ZtR2phSUI0NERGcmctcXYwX2FMWTRONFZuOFlhR25MSTNndXZMeTNuZThWT0tmSnJuYmdONG8wdnoybE5mblc?oc=5,2026-01-28 03:00:00,Daily Nation,Report: More than half of MPs will not make it back to Parliament Daily Nation,2025-01-01
Two Ruto advisers face legal action over alleged contempt of court - Daily Nation,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNd2psWG9ENXE3ck9EdEstU0FmRWdGVm1TQ1N3ak9jOWZReUprYlFkbl9jbTljZFlhbXhYOGNLSGVqWE9lNHZQUzBWTXhOZ3VIMXFpYmwyUUtPbFY0a2F4Wm1UUkcyam1vSl90OUl5Y05nU2I5ckk2THBLYlpad1BDdVRlbklIMlFZMmt5TmJtSmlFelRPcEtCcV80clJaSjVqSFJMVVZaTDlGX0E?oc=5,2026-01-28 02:00:00,Daily Nation,Two Ruto advisers face legal action over alleged contempt of court Daily Nation,2025-01-01
