Title,Link,Published_Date,Summary,Source,Extraction_Date
Leading with impact: How Anita Mibey redefined leadership in Kericho - Daily Nation,https://news.google.com/rss/articles/CBMitgFBVV95cUxQV2gyd1JxRHQ2bDRRSnRKeGxIMF8yT05Sd2w0NDIwbmt1ZDRneE84UVFWQU1hQnVXYTJXc1N2bmMzdUtpQjFHbkNfeHNrRkRrazFfcUxoM1RuOUxhckt4NWhYYmk2VVFLckZzUkxiV0hFMUpzWjZ3M1lhdGRfZ2FuUV9rX2NpelpkaUczU3BkOGlTUUhlMlVnTFlNMWVrTEs2dDlQOFZMSzliMWYxQl9Cd0hMRVhUUQ?oc=5,2025-01-02,Leading with impact: How Anita Mibey redefined leadership in Kericho Daily Nation,Daily Nation,2025-01-01
Raila: Luo festival meant to celebrate unity in diversity - Daily Nation,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOamJ3RlRjM2tVRzVuNEhocWZNdmNNWjVUbGFMSlBhREtxVHkzdkpUZW9zUk15QmpRdzJOb3NKaTBTZXdNM1hzdjR4ejJfOG0zZWEwdEh1OGJVTWZLMFNaMGxCRjVzRWUySFAxUTlSeW9oMHBuWjFVSmd0TFN3c0xOZWdKZDBkVlQ1SHZjOWVqT3pldGhlclBDZGNOWHlwTXJLb01yY3VZQWRLNm8?oc=5,2025-01-01,Raila: Luo festival meant to celebrate unity in diversity Daily Nation,Daily Nation,2025-01-01
"Lake Olbolosatt sees remarkable recovery, but… - Daily Nation",https://news.google.com/rss/articles/CBMikgFBVV95cUxPZlFaemlNbnhCUVNmXzZ2Z1NfVmFlQ1hJQkdkc3NRUEZjck41QXFYZ2lWN0ZoQ2hYX3k1TTdiaTRremxTVXpqNXhhNzNXOEo0NjVfdFZKVDNxbnhHUUp5X3BTdE1JSjRRaUFrcm93VmZQMWh0RFhSTjU5WHJNT0pmb1NGSW8wTDF3N1VQN1hwVmF5Zw?oc=5,2025-01-02,"Lake Olbolosatt sees remarkable recovery, but… Daily Nation",Daily Nation,2025-01-01
City roads closed for repairs - Daily Nation,https://news.google.com/rss/articles/CBMiigFBVV95cUxNQVBkTnR3QmlpZU1qdUt2d2h3LVpuSlVYQ2htbl9xbHlBUXRKQ25JdUxoRlJsYm5wNTV2emtrR242MUVfT1JoODBBdHotcGlxbVhkeEV3SGRpbmdqOGdjWDFqYVRNNkNieHpDWDB3N0FHdEI3UXhJdGRXVE93VFNwRXRjanotS1pPcXc?oc=5,2025-01-01,City roads closed for repairs Daily Nation,Daily Nation,2025-01-01
Auditor-General seeks to save taxpayers from costly loan penalties - Business Daily,https://news.google.com/rss/articles/CBMitgFBVV95cUxORWJneVR4eDZJNFlxdWNtanBIMnE4N0kteE9ncDNSdlJMXzBnY2lIdjhZWDMwUFJZand2OGtWbUtScmRRTWRpTEwwMFMyZjR6MXFfYnprNG5tU183aUNCMVFpalRDWlNVV1JaLW5FYWNSWlpSb2VzbVBSRktVRGd0RE5kOFhlOGhhRmU0dDQ1N3Rkdmk3VktXLV80VmltSFZDaEFvbkw0aUhmMjZPcFhzX3A2ZTkydw?oc=5,2025-01-02,Auditor-General seeks to save taxpayers from costly loan penalties Business Daily,Business Daily,2025-01-01
AAR Hospital launches specialised paediatric clinics - Business Daily,https://news.google.com/rss/articles/CBMitwFBVV95cUxQeGRITzRSTFpaTjNCSng3S3Eyc0IteEZlR253ckhFRW9BajlyVzJKNmppOERneS0zLXJJdjBJTnlaYm5Tb2ZZR1I2Z3c4ZHE3SGNjOWtnaUdpX3NaZnY3bzlwaE1KM3ZXNW45VkVCSHc4NWxqWDhlOS1Jd0p1ZU1IRk8zU0dacnFRX19OMDA0akFfSnJmRG5VTU1qTnhqeWZjaDlCWDc4U09TdkQxZlVadFl2YnhQYUE?oc=5,2025-01-01,AAR Hospital launches specialised paediatric clinics Business Daily,Business Daily,2025-01-01
NSE gets competitor in fractional securities trade ahead of launch - Business Daily,https://news.google.com/rss/articles/CBMivgFBVV95cUxNSjFRWDlRczRXem5rSFNFQ3d1M1EzUVVwd2cwN2daQ3NpUnlrTXFqdXFFS25MYUF6NU9wUklmNk5lN1ZCX3FRWHdlZlRHRndpc3FCZ1RGV0I5VTVsQzNoa2dqdmx1WUtDdTRWenpIREItY0pMb2NPeldCZDFJbV9nU1ZWbUpFdUVlSDJibGJUU2RHazFzdmtGaEtESVNNcjFLYjdTRlROOWRWSzhtYjdNdDRSUUNpVWx2UWlyQ3hn?oc=5,2025-01-02,NSE gets competitor in fractional securities trade ahead of launch Business Daily,Business Daily,2025-01-01
Where Kenya’s super wealthy spent holiday - Business Daily,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOSXJNbEEyMUpyVWdyYlZfTUpXaEVHNE9sNktfZXFyUlFSUVFLLWxnX2J5VXJlcThZVzg5bkVmRGZvckxLMHBOZ3VEQ3BCNGM3V3hqZlA5WUtwNjNFbHQxdFBTVFBEaHo4eHBBZHJZQXdnWjhmRVEzOS1ORDA1RzYtdEZiTDRKVWtZZVlOdkNIVWRkQV9wMVBKOV9ZZnhoWnFXT2hwV3c5d00?oc=5,2025-01-01,Where Kenya’s super wealthy spent holiday Business Daily,Business Daily,2025-01-01
The winners and losers in proposed counties revenue sharing plan - Business Daily,https://news.google.com/rss/articles/CBMitgFBVV95cUxNckJmUmtUMUlqYUZVNFRxcU1QR0JYUDRlS3F6amN0blNNX2pXSFo2VElvakZsUG9OQ1U0UDNzQlZYWmpsa0I2YndfV01ENGRSX3VDSzlzdjNSdk9nQTZxSUVkUGlQR3RHTnJqaUdFWEFTdUExZDJHcFFIbGgwQjV4aG5iVzlteWRwcmgzNl94cDIteThReGtlTk9kUGxPaUJHMkZTaldIR2NEelN1NWF4dWFRRXl4QQ?oc=5,2025-01-02,The winners and losers in proposed counties revenue sharing plan Business Daily,Business Daily,2025-01-01
Kenyan banker Yeda exits EADB after turbulent 17 years at helm - Business Daily,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQVzdrV2ZmU0JsVGdUZjF0a052cUNfN1c1bS1uMGQzaDhab0o5WnBEazdkN0loWXZ2ZmVGdnB0S0NXeXFvemgyeXI2b1JialRhcnZMdGRRYkZTRVd3M1JZMGtNU0U2ajVmVG54a1o1ZGFQV1RxWnFGYTlwVEtsNllNbTB1QlJVenN0ekFYc2ZvdVpESjBvaldVUHV4QWM4MGZOeWlLSXQzYkppbjNyV19rbHQ3WWVPTk1PZWRz?oc=5,2025-01-01,Kenyan banker Yeda exits EADB after turbulent 17 years at helm Business Daily,Business Daily,2025-01-01
